item,sentence,condition,target,context_had
91,Carrie's morning meeting was chewing for a long time.,low-cloze,chewing,Carrie's morning meeting was
92,Martin's tonsils had been removing at the hospital.,reversed,removing,Martin's tonsils had been
92,Martin's tonsils had been removed at the hospital.,canonical,removed,Martin's tonsils had been
92,The surgeon had been removing the cancerous growth.,high-cloze,removing,The surgeon had been
92,The homicide case had been removing at the hospital.,low-cloze,removing,The homicide case had been
93,Mother Theresa's death was mourning millions of people.,reversed,mourning,Mother Theresa's death was
93,Mother Theresa's death was mourned by millions of people.,canonical,mourned,Mother Theresa's death was
93,The black-clad women were mourning the death of their brother.,high-cloze,mourning,The black-clad women were
93,Lisa's phone had been mourning the loss of a loved one.,low-cloze,mourning,Lisa's phone had been
94,The bathroom floor had been mopping by a janitor.,reversed,mopping,The bathroom floor had been
94,The bathroom floor had been mopped in the past.,canonical,mopped,The bathroom floor had been
94,The school janitor had been mopping the bathroom.,high-cloze,mopping,The school janitor had been
94,An important lesson had been mopping in the past.,low-cloze,mopping,An important lesson had been
95,The sin had been confessing by the repentant Catholic.,reversed,confessing,The sin had been
95,The sin had been confessed on Sunday.,canonical,confessed,The sin had been
95,The repentant Catholic had been confessing his sins.,high-cloze,confessing,The repentant Catholic had been
95,Ten new trees had been confessing on Sunday.,low-cloze,confessing,Ten new trees had been
96,The strange mystery had been solving the detectives.,reversed,solving,The strange mystery had been
96,The strange mystery had been solved at the station.,canonical,solved,The strange mystery had been
96,The brilliant detective had been solving mysterious crimes for two decades.,high-cloze,solving,The brilliant detective had been
96,Hathaway's gigantic fortune had been solving at the station.,low-cloze,solving,Hathaway's gigantic fortune had been
