,sentence,item,type,condition,patient,agent,context_had,target,patient_pos,agent_pos,target_pos
191,Tonia explained which conman the housewife had swindled over the phone.,96,reversal,reversed,conman,housewife,Tonia explained which conman the housewife had,swindled,3,5,7
192,The broadcaster explained which contestant the judge had disqualified from the show.,97,reversal,canonical,contestant,judge,The broadcaster explained which contestant the judge had,disqualified,4,6,8
193,The broadcaster explained which judge the contestant had disqualified from the show.,97,reversal,reversed,judge,contestant,The broadcaster explained which judge the contestant had,disqualified,4,6,8
194,The campaign volunteer speculated which mayor the voters had elected by a landslide.,98,reversal,canonical,mayor,voters,The campaign volunteer speculated which mayor the voters had,elected,5,7,9
195,The campaign volunteer speculated which voters the mayor had elected by a landslide.,98,reversal,reversed,voters,mayor,The campaign volunteer speculated which voters the mayor had,elected,5,7,9
196,The family counselor understood which daughter the stepparent had abused on a daily basis.,99,reversal,canonical,daughter,stepparent,The family counselor understood which daughter the stepparent had,abused,5,7,9
197,The family counselor understood which stepparent the daughter had abused on a daily basis.,99,reversal,reversed,stepparent,daughter,The family counselor understood which stepparent the daughter had,abused,5,7,9
198,The newscaster confirmed which fugitive the policeman had arrested following the robbery.,100,reversal,canonical,fugitive,policeman,The newscaster confirmed which fugitive the policeman had,arrested,4,6,8
199,The newscaster confirmed which policeman the fugitive had arrested following the robbery.,100,reversal,reversed,policeman,fugitive,The newscaster confirmed which policeman the fugitive had,arrested,4,6,8
200,The opera composer revealed which pirate the singer had portrayed with the greatest finesse.,101,reversal,canonical,pirate,singer,The opera composer revealed which pirate the singer had,portrayed,5,7,9
201,The opera composer revealed which singer the pirate had portrayed with the greatest finesse.,101,reversal,reversed,singer,pirate,The opera composer revealed which singer the pirate had,portrayed,5,7,9
202,The prison warden guessed which jailer the inmate had stabbed with a knife.,102,reversal,canonical,jailer,inmate,The prison warden guessed which jailer the inmate had,stabbed,5,7,9
203,The prison warden guessed which inmate the jailer had stabbed with a knife.,102,reversal,reversed,inmate,jailer,The prison warden guessed which inmate the jailer had,stabbed,5,7,9
204,The producer observed which viewers the acrobats had impressed with their tricks.,103,reversal,canonical,viewers,acrobats,The producer observed which viewers the acrobats had,impressed,4,6,8
205,The producer observed which acrobats the viewers had impressed with their tricks.,103,reversal,reversed,acrobats,viewers,The producer observed which acrobats the viewers had,impressed,4,6,8
206,The queen recognized which nobleman the comedian had entertained with his jokes.,104,reversal,canonical,nobleman,comedian,The queen recognized which nobleman the comedian had,entertained,4,6,8
207,The queen recognized which comedian the nobleman had entertained with his jokes.,104,reversal,reversed,comedian,nobleman,The queen recognized which comedian the nobleman had,entertained,4,6,8
208,The reporter inquired which animals the groomer had cleaned with special shampoo.,105,reversal,canonical,animals,groomer,The reporter inquired which animals the groomer had,cleaned,4,6,8
209,The reporter inquired which groomer the animals had cleaned with special shampoo.,105,reversal,reversed,groomer,animals,The reporter inquired which groomer the animals had,cleaned,4,6,8
210,The ape researcher identified which chimpanzee the poacher had shot in the jungle.,106,reversal,canonical,chimpanzee,poacher,The ape researcher identified which chimpanzee the poacher had,shot,5,7,9
211,The ape researcher identified which poacher the chimpanzee had shot in the jungle.,106,reversal,reversed,poacher,chimpanzee,The ape researcher identified which poacher the chimpanzee had,shot,5,7,9
212,The boatman saw which shark the diver had speared just off the shore.,107,reversal,canonical,shark,diver,The boatman saw which shark the diver had,speared,4,6,8
213,The boatman saw which diver the shark had speared just off the shore.,107,reversal,reversed,diver,shark,The boatman saw which diver the shark had,speared,4,6,8
214,The committee member guessed which advisors the president had appointed to the Cabinet.,108,reversal,canonical,advisors,president,The committee member guessed which advisors the president had,appointed,5,7,9
215,The committee member guessed which president the advisors had appointed to the Cabinet.,108,reversal,reversed,president,advisors,The committee member guessed which president the advisors had,appointed,5,7,9
216,The farmer indicated which donkey the townsperson had bought in the neighboring village.,109,reversal,canonical,donkey,townsperson,The farmer indicated which donkey the townsperson had,bought,4,6,8
217,The farmer indicated which townsperson the donkey had bought in the neighboring village.,109,reversal,reversed,townsperson,donkey,The farmer indicated which townsperson the donkey had,bought,4,6,8
218,The military man knew which soldiers the general had promoted after their tour.,110,reversal,canonical,soldiers,general,The military man knew which soldiers the general had,promoted,5,7,9
219,The military man knew which general the soldiers had promoted after their tour.,110,reversal,reversed,general,soldiers,The military man knew which general the soldiers had,promoted,5,7,9
220,The parole officer confirmed which delinquent the psychologist had treated several times already.,111,reversal,canonical,delinquent,psychologist,The parole officer confirmed which delinquent the psychologist had,treated,5,7,9
221,The parole officer confirmed which psychologist the delinquent had treated several times already.,111,reversal,reversed,psychologist,delinquent,The parole officer confirmed which psychologist the delinquent had,treated,5,7,9
222,The policeman knew which suspect the detective had arrested for the recent crime.,112,reversal,canonical,suspect,detective,The policeman knew which suspect the detective had,arrested,4,6,8
223,The policeman knew which detective the suspect had arrested for the recent crime.,112,reversal,reversed,detective,suspect,The policeman knew which detective the suspect had,arrested,4,6,8
224,The priest knew which demon the exorcist had expelled with a cross.,113,reversal,canonical,demon,exorcist,The priest knew which demon the exorcist had,expelled,4,6,8
225,The priest knew which exorcist the demon had expelled with a cross.,113,reversal,reversed,exorcist,demon,The priest knew which exorcist the demon had,expelled,4,6,8
226,Jack observed which passenger the conductor had removed from the train.,114,reversal,canonical,passenger,conductor,Jack observed which passenger the conductor had,removed,3,5,7
227,Jack observed which conductor the passenger had removed from the train.,114,reversal,reversed,conductor,passenger,Jack observed which conductor the passenger had,removed,3,5,7
228,Teresa knew which neighbor the parrot had bitten at the block party.,115,reversal,canonical,neighbor,parrot,Teresa knew which neighbor the parrot had,bitten,3,5,7
229,Teresa knew which parrot the neighbor had bitten at the block party.,115,reversal,reversed,parrot,neighbor,Teresa knew which parrot the neighbor had,bitten,3,5,7
230,The art critic identified which model the artist had drawn in the studio.,116,reversal,canonical,model,artist,The art critic identified which model the artist had,drawn,5,7,9
231,The art critic identified which artist the model had drawn in the studio.,116,reversal,reversed,artist,model,The art critic identified which artist the model had,drawn,5,7,9
232,The cotton farmer wondered which master the slave had escaped by running through the woods.,117,reversal,canonical,master,slave,The cotton farmer wondered which master the slave had,escaped,5,7,9
233,The cotton farmer wondered which slave the master had escaped by running through the woods.,117,reversal,reversed,slave,master,The cotton farmer wondered which slave the master had,escaped,5,7,9
234,The farmhand recorded which goats the breeder had sold at the market.,118,reversal,canonical,goats,breeder,The farmhand recorded which goats the breeder had,sold,4,6,8
235,The farmhand recorded which breeder the goats had sold at the market.,118,reversal,reversed,breeder,goats,The farmhand recorded which breeder the goats had,sold,4,6,8
236,The four-year-old knew which hero the dragon had eaten for dinner last night.,119,reversal,canonical,hero,dragon,The four-year-old knew which hero the dragon had,eaten,4,6,8
237,The four-year-old knew which dragon the hero had eaten for dinner last night.,119,reversal,reversed,dragon,hero,The four-year-old knew which dragon the hero had,eaten,4,6,8
238,The security guard investigated which patrolman the loiterer had evaded for three hours.,120,reversal,canonical,patrolman,loiterer,The security guard investigated which patrolman the loiterer had,evaded,5,7,9
239,The security guard investigated which loiterer the patrolman had evaded for three hours.,120,reversal,reversed,loiterer,patrolman,The security guard investigated which loiterer the patrolman had,evaded,5,7,9
